Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
388 /api/goal/calculateuseractivity,50,10955,10938,13560,13798,16859,5531,16859,0.000%,.35203,1.45,0.14
390 /api/goal/calculateuseractivity,50,10585,10433,14091,14491,23119,4628,23119,0.000%,.32049,1.32,0.13
389 /api/goal/userGoals,50,15899,16065,18534,19031,20482,11907,20482,0.000%,.31356,10.23,0.12
391 /api/goal/userGoals,50,17019,16523,21727,22337,27739,10277,27739,0.000%,.30025,9.79,0.12
392 /api/goal/calculateuseractivity,50,10754,10304,14553,15290,20974,5791,20974,0.000%,.29656,1.22,0.12
393 /api/goal/userGoals,50,17701,17474,22395,23816,30561,7496,30561,0.000%,.27947,9.11,0.11
394 /api/goal/calculateuseractivity,50,11660,10944,15448,16175,19048,5810,19048,0.000%,.28533,1.18,0.11
395 /api/goal/userGoals,50,19665,19359,24710,25637,29028,9865,29028,0.000%,.27296,8.90,0.11
396 /api/goal/calculateuseractivity,50,12699,12355,17273,19255,23072,5572,23072,0.000%,.28156,1.16,0.11
397 /api/goal/userGoals,50,19546,19429,24799,25771,30463,10892,30463,0.000%,.25958,8.47,0.10
398 /api/goal/calculateuseractivity,50,12332,12731,15634,16153,20050,6238,20050,0.000%,.27079,1.12,0.11
399 /api/goal/userGoals,50,18911,18996,22701,22887,28245,11338,28245,0.000%,.26241,8.56,0.10
400 /api/goal/calculateuseractivity,50,12859,12230,17236,18219,19934,4663,19934,0.000%,.29013,1.20,0.12
402 /api/goal/calculateuseractivity,50,11695,11489,16068,16696,17474,4098,17474,0.000%,.30497,1.26,0.12
401 /api/goal/userGoals,50,18201,18064,23321,24197,27204,6093,27204,0.000%,.31277,10.20,0.12
404 /api/goal/calculateuseractivity,50,12110,12667,15697,15784,19245,3506,19245,0.000%,.34728,1.43,0.14
403 /api/goal/userGoals,50,17106,18040,22943,23234,25154,3662,25154,0.000%,.36556,11.92,0.14
405 /api/goal/userGoals,50,14956,15116,21754,22876,25976,3279,25976,0.000%,.41943,13.68,0.16
406 /api/goal/calculateuseractivity,50,8062,8312,13449,14747,16495,918,16495,0.000%,.46165,1.90,0.18
407 /api/goal/userGoals,50,10699,10507,15518,16348,21571,2647,21571,0.000%,.50369,16.43,0.20
409 /api/goal/updateUserActivity,50,3507,3081,6703,7028,8094,826,8094,0.000%,.57659,2.12,0.28
